Order,Family,Genus,Species,spawningMode,FemaleSize_mm,sizeType,eggSize_mm,typeOfWork_eggSize,timeToEggMeasurement_months,Location,Date,sampleSize,Fertilized,Live,Latitude,Longitude,ReferencePdf,lnSize,lnEggSize,absLatitude
Batrachoidiformes,Batrachoididae,Porichthys,Porichthys notatus,demersal,NA,,6,Field,NA,"Mussel Point, Monterey Bay, CA, USA",Before 1948,,TRUE,TRUE,36.657246,-121.905175,arora_hl_1949_c1948_89.pdf,NA,1.791759469,36.657246
Beloniformes,Exocoetidae,Cheilopogon,Cheilopogon pinnatibarbatus,pelagic,NA,,2.2,Field,NA,Off Scripps Institution of Oceanography,1931 July,,TRUE,TRUE,32.868733,-117.258539,barnhart_ps_1932_b3_87.pdf,NA,0.78845736,32.868733
Beloniformes,Exocoetidae,Hirundichthys,Hirundichthys affinis,demersal,277.27,TL,2.5,,NA,"Mostly off the coast of Natal, RN, Brazil",2010 August - 2011 July,2 females,FALSE,FALSE,-5.750962,-35.088767,oliveira_mr_2015_h6_107.pdf,5.624991761,0.916290732,5.750962
Beloniformes,Hemiramphidae,Hemiramphus,Hemiramphus brasiliensis,demersal,330,TL,0.8,,NA,"Mostly off the coast of Natal, RN, Brazil",2010 August - 2011 July,2 females,FALSE,FALSE,-5.750962,-35.088767,oliveira_mr_2015_h6_107.pdf,5.799092654,-0.223143551,5.750962
Beloniformes,Hemiramphidae,Hyporhamphus,Hyporhamphus quoyi,pelagic,NA,,2.4,Field,NA,"Mandapam, Gulf of Mannar, Tamil Nadu, India",1959 April,,TRUE,TRUE,9.127816,79.466155,sudarsan_d_1966_j8_342.pdf,NA,0.875468737,9.127816
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.52,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-33.088333,-73.34167,ahlstrom_eh_1972_f70_1153.pdf,NA,0.924258902,33.088333
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.52,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-28.51,-72.72,ahlstrom_eh_1972_f70_1153.pdf,NA,0.924258902,28.51
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.44,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-6.583333,-85.14167,ahlstrom_eh_1972_f70_1153.pdf,NA,0.891998039,6.583333
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.43,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-28.503333,-71.66833,ahlstrom_eh_1972_f70_1153.pdf,NA,0.887891257,28.503333
Beloniformes,Scomberesocidae,Scomberesox,Scomberesox saurus,pelagic,NA,,2.36,,NA,off coastal Chile,1967 August - September,,TRUE,FALSE,-23.708333,-71.58333,ahlstrom_eh_1972_f70_1153.pdf,NA,0.858661619,23.708333
